id,status,summary,description,lat,lng,address,created_at,acknowledged_at,closed_at,url
8763255,"Acknowledged","Police General Issue","drug house at 3116 SE Emerson St Raven Coats and David Adams, up all night and day now going on day 3 being up, Raven Coats goes out and steals stuff from around the neighborhood and they hide stolen stuff in the back yard and in the car port, I have been reporting this activity for few years now for nothing to be done, My kids don't even go out to play because of all the activity they think it's not safe
",39.0100007,-95.67424819999999,"3116 Se Emerson St Topeka, KS 66605, USA","2020-10-15T08:49:07-04:00","2020-10-15T08:49:28-04:00",,"https://seeclickfix.com/api/v2/issues/8763255"
8887542,"Archived","Property Maintenance & Code Violations","Neighbor blowing leaves in her yard into the street.  We both ride motorcycles as do some other neighbors and this is extremely dangerous for us and also a violation of city ordinance.  Telephone number is 785-224-7885 if additional information is needed.  This is being done almost daily.",39.003096,-95.7012706,"1917 Sw Tara Ave Topeka Ks 66611","2020-11-09T14:47:16-05:00","2020-11-09T14:47:27-05:00","2020-11-18T18:10:41-05:00","https://seeclickfix.com/api/v2/issues/8887542"
8759788,"Acknowledged","Mailbox Install/Repair/Replacement","got a call about a mailbox that was disturbed while we were mowing. the post was knocked over and the box has been dented and wont close properly.",39.0091920127204,-95.939654007526,"13724 Sw 33rd St Topeka, KS, 66614, USA","2020-10-14T16:39:36-04:00","2020-10-14T16:39:38-04:00",,"https://seeclickfix.com/api/v2/issues/8759788"
8759866,"Acknowledged","Street Sign Repair","This is an unsafe intersection next to a school in an area of town with a lot of pedestrian traffic. There is a pedestrian crossing across 15th, but none of the 3 directions of traffic have a stop sign and the northbound Lincoln traffic has a blind corner.
I am requesting assessment for placement of one or more stop signs at this intersection. Thank you for your consideration.",39.0397619691956,-95.69442034938309,"1510 Sw Lane St Topeka 66604, United States","2020-10-14T16:59:16-04:00","2020-10-14T16:59:23-04:00",,"https://seeclickfix.com/api/v2/issues/8759866"
8759341,"Acknowledged","Property Maintenance & Code Violations","Neighbor across the street isn’t maintaining the ditch in the right away on east side of Republican. Trees and branches growing out in the road ",39.0361078127205,-95.6486168652946,"2036 Se 11th Terr Topeka 66607, United States","2020-10-14T15:11:24-04:00","2020-10-14T16:06:01-04:00",,"https://seeclickfix.com/api/v2/issues/8759341"
9004190,"Acknowledged","Pothole","I 470 & S Topeka Blvd, NW corner of intersection. KDOT concrete patch broke in large pieces, now many are hitting this large rectangle shaped pothole from going westbound right lane, and northbound left hand turn, outer lane heading west... This needs handed off to KDOT personnel to at least do a temp fix for now....",38.9944797,-95.6878394,"4023 Sw Topeka Blvd Topeka, KS 66609, USA","2020-12-03T17:46:29-05:00","2020-12-03T17:46:42-05:00",,"https://seeclickfix.com/api/v2/issues/9004190"
9003782,"Acknowledged","Traffic Signal Repair","This signal heading west on 29th street just past the intersection at Fairlawn . It holds those heading west much longer than is necessary. The traffic easily backs up into the intersection. The left turn arrow from 29th Street onto the i470 is what is staying green. The eastbound traffic rolls right along, it is just the westbound traffic.
Regardless of the time, day or night this is happening. A few nights ago I was stuck at this light for many minutes and there was no one even on the road but me - let alone multitudes  turning onto the highway. ",39.0143678168243,-95.7447960004599,"Sw 29th St Topeka 66614, United States","2020-12-03T16:16:47-05:00","2020-12-03T16:17:06-05:00",,"https://seeclickfix.com/api/v2/issues/9003782"
8992611,"Acknowledged","Pothole","This last summer the street department filled cracks and sealed (overlayed) all of the streets within Berkshire Greens neighborhood ""except"" the main street (SW Moundview dr) 'was not done'. The street has several 'cracks' that were not sealed and several are more than 2 inches wide and 15 feet in length.  Additionally, there are 'several areas' (one being at the intersection of Moundview dr. and Trivino ct [picture] ) that are literally breaking up in chunks. There are several of these areas within the 2 block stretch of Moundview dr, (starting on the east side entering the neighborhood.
It doesn't make much sense to have spent the money to seal all other streets and not Moundview dr. Sections of the street are deteriorating quickly and with the winter months it will surely accelerate.  Recommend the street be 'reevaluated' and necessary repairs made before it gets worse.  This has not created a 'safety hazard' yet but as time goes on the holes will get bigger and deeper potentially creating a hazard.",38.9830040135342,-95.7278240359052,"4623 Sw Moundview Dr Topeka, KS, 66610, USA","2020-12-01T16:55:50-05:00","2020-12-01T16:56:01-05:00",,"https://seeclickfix.com/api/v2/issues/8992611"
8854074,"Archived","Inlet Clogged/Flooding","During heavy rains the storm drain opening in front of our house does not capture all the runoff. It drains into our yard and runs through the backyard flooding the yards behind us. We have spent $10,000 this year to prevent water from getting into our house but would like the city to redo this drain to prevent future problems for us and our neighbors. ",39.0189480031929,-95.70526699335559,"2817 Sw Plass Ave Topeka, KS, 66611, USA","2020-11-02T19:17:52-05:00","2020-11-02T19:18:07-05:00","2020-11-05T13:01:40-05:00","https://seeclickfix.com/api/v2/issues/8854074"
8990573,"Acknowledged","Camp at east end of trail Big Shunga Park","(The address is not correct but had to add to submit) GPS of the camp is  95° 42' 34.62"" W  39° 1' 8.49"" N   From the metal bridge over Shunganunga Creek north of Brookwood Shopping Center: take the trail just south of the bridge to the east to its end (about 1/4 mile). The camp is in the trees.",39.0188114190348,-95.70641040802001,"2815 Sw Macvicar Ave Topeka, KS, 66611, USA","2020-12-01T10:26:36-05:00","2020-12-01T10:26:59-05:00",,"https://seeclickfix.com/api/v2/issues/8990573"
